,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000124795.19,1459.26304198766,-1.04264585929664,0.191178251953083,-5.45378906149071,4.93076885844975e-08,3.63741754493121e-06
ENSG00000181019.14,229.22868367512,1.33307641845518,0.244596993585013,5.45009322852472,5.03434226196848e-08,3.68729611101606e-06
ENSG00000147224.14,316.445145482965,-1.52521036172406,0.28001057633111,-5.4469741168652,5.12339151891049e-08,3.72590472588001e-06
ENSG00000223749.12,109.894647255825,-2.06087452238021,0.379881918984794,-5.42503978048689,5.79416342568288e-08,4.18403885682762e-06
ENSG00000282046.3,146.187822884959,1.81601644584802,0.334859241565388,5.42322331424563,5.85337901054973e-08,4.19724114504733e-06
ENSG00000172893.20,865.924639024107,-0.904333481316449,0.167382469388561,-5.40279686767633,6.56097456430008e-08,4.67196063766202e-06
ENSG00000167508.14,124.48748059788,-1.74432781888648,0.323473568836487,-5.39248948580468,6.94881667503202e-08,4.91401146108816e-06
ENSG00000183010.19,594.371533112252,1.16654793599032,0.21642102670303,5.39017836557555,7.03877866460999e-08,4.94353674156923e-06
ENSG00000124783.16,870.117401541805,0.963613675278595,0.179146162168478,5.37892446935237,7.49321349945461e-08,5.22689872268078e-06
ENSG00000108639.10,907.947867023707,1.08482079595086,0.203481829934369,5.33129074129497,9.75171469964727e-08,6.75635692771508e-06
ENSG00000092621.15,279.200100452686,1.30816814305101,0.247759279904907,5.27999654968767,1.29186319198536e-07,8.89044642323347e-06
ENSG00000115091.14,918.063752191277,-0.916611378853084,0.173900979715254,-5.27088105169934,1.35770440355925e-07,9.28126730273104e-06
ENSG00000072110.19,1675.42887855343,-1.00952346219341,0.193240481080114,-5.22418209968586,1.74926569408181e-07,1.18787883623277e-05
ENSG00000166750.12,52.263471982796,2.6270217641436,0.504770545770684,5.20438798609507,1.94636981827102e-07,1.3130313234573e-05
ENSG00000128272.21,190.404285868871,1.5781436492106,0.303365966944077,5.20211171051209,1.97036723112078e-07,1.32053239136683e-05
ENSG00000113721.16,80.5534076127039,-2.50663494389735,0.48288740581453,-5.19093046063022,2.09245769946956e-07,1.39325073054292e-05
ENSG00000163814.10,74.0388755561888,2.07731281788177,0.401998018237351,5.16747029497857,2.3728366407617e-07,1.56974625254003e-05
ENSG00000234127.11,47.5997273964714,-2.97569050392898,0.577260125189556,-5.15485198800427,2.5383134246998e-07,1.66845293954306e-05
ENSG00000167772.14,21.7817363634894,8.24904803468998,1.60130316871093,5.15145925885515,2.58467378412171e-07,1.68810477594803e-05
